userName|#|projectName|#|toStoreFileName|#|fileWeight|#|havedSensitiveKeywordList|#|retDomainList|#|retIPList
hellowupeng|#|Android-Workspace|#|FirstActivity.java-96b04e2680e0e3031ccccd40bfb42c56.html|#|6|#|gaiaworks , gaia , sa|#||#|
hellowupeng|#|Android-Workspace|#|BaseActivity.java-a48ba933d5a374f84c471e510377054d.html|#|6|#|gaiaworks , gaia , sa|#||#|
hellowupeng|#|Android-Workspace|#|ActivityCollector.java-0c25ce534f6d0563f6da30eb0febaffc.html|#|4|#|gaiaworks , gaia|#||#|
hellowupeng|#|Android-Workspace|#|AndroidManifest.xml-26d5a6a58bec9cd812dbf11429ea59ad.html|#|6|#|gaiaworks , gaia|#||#|
hellowupeng|#|Android-Workspace|#|ExampleInstrumentedTest.java-726846df50499868be76606b60ff8e60.html|#|6|#|gaiaworks , gaia|#||#|
hellowupeng|#|Android-Workspace|#|build.gradle-368c836b713c0016c2acf06fd06a77bf.html|#|2|#|gaiaworks , gaia|#||#|
hellowupeng|#|Android-Workspace|#|ExampleUnitTest.java-d4010831de00916d7a03552f15e40f53.html|#|4|#|gaiaworks , gaia|#||#|
hellowupeng|#|Android-Workspace|#|NormalActivity.java-79db9f89a6287a6362a39b55019d819b.html|#|6|#|gaiaworks , gaia , sa|#||#|
hellowupeng|#|Android-Workspace|#|MainActivity.java-4c7f74155520dad50df8eb08937ea273.html|#|8|#|gaiaworks , gaia , sa|#||#|
hellowupeng|#|Android-Workspace|#|DialogActivity.java-5eaff52252239eba75a7b559908caf56.html|#|6|#|gaiaworks , gaia , sa|#||#|
hellowupeng|#|Android-Workspace|#|AndroidManifest.xml-5ab2fcabe3697f0d45f1462ee71a5f3d.html|#|2|#|gaiaworks , gaia|#||#|
hellowupeng|#|Android-Workspace|#|ExampleInstrumentedTest.java-6a36b5b3c1679428510696ff0f029e10.html|#|6|#|gaiaworks , gaia|#||#|
hellowupeng|#|Android-Workspace|#|build.gradle-854e9ed1b86a945267d0b591554cf1c1.html|#|2|#|gaiaworks , gaia|#||#|
